tweetid,status,created_at,userid,nickname,status_count,verified,verified_type,verified_reason,gender,rank,repost_count,follower_count,follow_count,like_count,comment_count
4007794199673639,#天津塘沽大爆炸一周年祭# 去年的这个时候，冲天的火光，沧海瞬间成桑田。 ​,Fri Aug 12 23:34:20 +0800 2016,4007794199673639,惟爱天津,68,-1,68,,f,8,0,26,54,2,0
3886649978933223,“我认为，所有能够引发思考的质疑和争议，都是有意义的，因为它能带来检讨和变革”，对于8.12天津港爆炸事件，我们是该痛定思痛，摸索前进，让悲剧不再发生，防微杜渐，防患于未然，而非以生命和鲜血为代价。 ​,Sun Sep 13 16:30:27 +0800 2015,3886649978933223,花d四海,84,-1,84,,f,9,0,35,41,0,0
3880726196015039,#天津塘沽大爆炸#到现在还在追责，还没找到爆炸原因。哼，肯定是狂派不满博派那么受平民百姓欢迎，故意搞得破坏 ​,Fri Aug 28 08:11:28 +0800 2015,3880726196015039,请叫我白先森__,280,-1,280,,m,20,0,1054,62,1,0
4007434676834236,812塘沽爆炸，也就一年了。希望你们还记得。时间也再次证明了，人民的热闹不过是一阵儿。#天津塘沽大爆炸一周年祭# ​,Thu Aug 11 23:45:44 +0800 2016,4007434676834236,Gcc-ccc,559,-1,559,,m,11,0,251,159,9,1
3875694692095348,#塘沽爆炸#又是20岁左右的消防员牺牲，我们在为消防英雄送别的时候是不是该想想为什么他们会牺牲？他们有处理危险品火灾的经验吗？如果没有经验只有勇气，那么是不是一个人只要有勇气，穿上消防服就能当‘消防员’了？ ​,Fri Aug 14 10:58:04 +0800 2015,3875694692095348,_沐沐汐,277,-1,277,,m,10,0,46,26,0,0
3880491477910480,【天津爆炸11官员被立案 瑞海被拘高管名单有变】天津港8.12危化品仓库大爆炸发生至今刚好半个月，官方公布处置结果，11名官员被立案侦查并采取刑事强制措施，其中最高为正厅级的天津市交通委主任武岱和天津港集团总裁郑庆跃。Via@参考消息网天津爆炸11官员被立案 瑞海被拘高管名单有变 ​,Thu Aug 27 16:38:46 +0800 2015,3880491477910480,法制网,26438,3,26438,法制网官方微博,f,32,5,502824,757,0,2
3875331230725748,#塘沽爆炸##最帅消防员#【世界上最帅的逆行】人们都往外逃 只有消防员们往前冲 他们将自己的生死置之度外…他们的牺牲是为了不让更多的人受到伤害…安息 向你们致敬 在灾难面前人们的生命是多么渺小 脆弱 但你们又是格外的强大…他们用生命作为赌注 ​,Thu Aug 13 10:53:48 +0800 2015,3875331230725748,娱乐圈扒爷,676,0,676,湖南电视台娱乐编辑,m,31,186,156726,72,669,54
3880111793008617,#天津塘沽大爆炸# 【环保专家：“臭咸菜味”源头初步探明】针对近日开发区服务外包园、时尚旺角区域居民反映的“臭咸菜”异味问题，初步判断气味是受损集装箱现场清理作业时产生，不会对身体造成伤害。采样分析结果最快今公布。网页链接 ​,Wed Aug 26 15:30:03 +0800 2015,3880111793008617,天津身边事,29227,0,29227,微博天津同城大使,f,35,2,523559,660,2,1
3875293099471165,#塘沽大爆炸#为塘沽，为天津人民祈福。（明天和来生你永远不知道哪个会先来） ​,Thu Aug 13 08:22:17 +0800 2015,3875293099471165,大师兄的地主婆,1183,-1,1183,,f,13,0,375,141,0,0
3885944732581166,#天津塘沽大爆炸#过泰达大街时占在了左转道上，交警问我直行还是左转，我指了指前方，他若有所思的点了点头我是不是该被罚了 ​,Fri Sep 11 17:48:04 +0800 2015,3885944732581166,vicky---sun,451,200,451,,f,26,0,152,185,3,0
